,company_x,company_y;
1516,Little Rocket,Videokantoor;
1517,Little Rocket,ANWB;
1518,Little Rocket,Noorderlicht Studio | Festival | On Tour;
1519,Little Rocket I Data + digitale innovatie,K3 Business Technologies;
1520,Little Rocket,CloseSure;
1521,Koninklijke Grolsch,Cogas;
1522,Little Rocket | Data + digitale innovatie,Tempo-Team;
1523,Little Rocket I Data + digitale innovatie,Planon;
1524,Koninklijke Grolsch,Stichting Sportkompas;
1525,Little Rocket I Data + digitale innovatie,Beekman B.V.;
1526,Saxion University of Applied Sciences,Singapore University of Technology and Design (SUTD);
1527,Lions Clubs International,APG;
1528,Koninklijke Grolsch,Bardot;
1529,Little Rocket,Over Morgen;
1530,Saxion University of Applied Sciences,Pius X College en Sg Canisius;
1531,Koninklijke Grolsch,Google;
1532,Lions Clubs International,Bovemij;
1533,Lions Clubs International,Uniek Taxaties;
1534,Koninklijke Grolsch,Pro-F Professionele Fysiotherapie;
1535,Little Rocket,Bluem payment & identity services;
1536,Saxion University of Applied Sciences,Drupt;
1537,Little Rocket,Federal Office for Migration and Refugees;
1538,Saxion University of Applied Sciences,Westfälische Wilhelms Universität Münster - Musikhochschule;
1539,Little Rocket,Gusti Koffie;
1540,Saxion University of Applied Sciences,Wellantcollege;
1541,Lions Clubs International,Naviva Kraamzorg;
1542,Little Rocket | Data + digitale innovatie,EuroParcs;
1543,Lions Clubs International,FLOWSPORTS;
1544,Koninklijke Grolsch,wehkamp;
1545,Little Rocket,ContactMakerz;
1546,Little Rocket,BP;
1547,Saxion University of Applied Sciences,. ;
1548,Lions Clubs International,Bakkerij Olde Keizer by Frans;
1549,Little Rocket I Data & Digital Innovation,OHRA;
1550,Little Rocket,Nordea;
1551,Little Rocket,KockvanBenthem Makelaars;
1552,Little Rocket I Data & Digital Innovation,Power-Packer;
1553,Lions Clubs International,Velthuis tegelwerken en tegelhandel;
1554,Little Rocket,Noaberkracht;
1555,Lions Clubs International,Ontwerpbureau Amweg;
1556,Koninklijke Grolsch,Next Glass;
1557,Little Rocket,eBay;
1558,Koninklijke Grolsch,Stichting Maatschappelijke Dienstverlening;
1559,Koninklijke Grolsch,Machielsen;
1560,Koninklijke Grolsch,Influence Network;
1561,Little Rocket I Data + digitale innovatie,Zorg van de Zaak Netwerk ;
1562,Koninklijke Grolsch,Instituto Tecnológico Autónomo de México;
1563,Little Rocket,Marotura;
1564,Saxion University of Applied Sciences,Gemeente Peel en Maas;
1565,Koninklijke Grolsch,ACES Direct;
1566,Koninklijke Grolsch,University of Twente;
1567,Little Rocket,Timex Group;
1568,Little Rocket,Tata Steel in Europe;
1569,Saxion University of Applied Sciences,Exite ICT;
1570,Little Rocket,yellow arrow;
1571,Little Rocket,Stichting Enschede Marathon;
1572,Saxion University of Applied Sciences,Christelijke Hogeschool Windesheim;
1573,Little Rocket I Data & Digital Innovation,Design en Media | uut Olnzel;
1574,Saxion University of Applied Sciences,Acato - Maakt het makkelijk;
1575,Koninklijke Grolsch,Menzis;
1576,Lions Clubs International,RJ Safety & Security;
1577,Little Rocket,Pillen Group;
1578,Saxion University of Applied Sciences,Dutch Bishops Lenten Campaign (stichting Bisschoppelijke Vastenactie);
1579,Saxion University of Applied Sciences,Sensire;
1580,Koninklijke Grolsch,FedEx;
1581,Lions Clubs International,The Entourage;
1582,Koninklijke Grolsch,BrandRefer;
"1583,Saxion University of Applied Sciences,""SPN, Stichting Samenwerkende POI's Nederland""";
1584,Little Rocket,Product League;
1585,Little Rocket I Data & Digital Innovation,Zone.college;
1586,Koninklijke Grolsch,Lidl Česká republika v.o.s.;
1587,Little Rocket | Data + digitale innovatie,Politie Oost-Nederland;
1588,Little Rocket,Topicus.com;
1589,Lions Clubs International,Geen Blad voor de Mond;
1590,Little Rocket,Relay42;
1591,Little Rocket,Supercell;
1592,Little Rocket,Performation;
1593,Saxion University of Applied Sciences,SportsSpeakers;
1594,Little Rocket,UniPartners Twente;
1595,Saxion University of Applied Sciences,Centraal Bureau voor de Statistiek;
1596,Little Rocket,BP International Limited;
1597,Koninklijke Grolsch,Vivo (Telefônica Brasil);
1598,Saxion University of Applied Sciences,Gemeente Zutphen;
1599,Little Rocket I Data & Digital Innovation,Avinty - Zorgvernieuwers net als jij;
1600,Lions Clubs International,Building Design Architectuur;
"1601,Little Rocket | Data + digitale innovatie,""IRIS, stichting voor christelijk onderwijs """;
1602,Little Rocket,Zinzia Zorggroep;
1603,Lions Clubs International,Stichting Kwaliteitsgarantie Vleeskalversector (SKV);
1604,Little Rocket,Clipforce Video & Animatie;
1605,Saxion University of Applied Sciences,Medisch Spectrum Twente;
1606,Little Rocket I Data + digitale innovatie,Marel Meat;
1607,Saxion University of Applied Sciences,Schuitemaker Machines B.V.;
1608,Koninklijke Grolsch,TOP Oss;
1609,Koninklijke Grolsch,Signify;
1610,Little Rocket | Data + digitale innovatie,Peil.nl;
1611,little rocket,Ernst & Young;
1612,Koninklijke Grolsch,MAN Truck & Bus SE;
1613,Saxion University of Applied Sciences,Gemeente Rijssen-Holten;
1614,Lions Clubs International,Groeneveld / Semmekrot Accountants en Belastingadviseurs B.V.;
1615,Lions Clubs International,Baseflow;
1616,Lions Clubs International,Provincie Overijssel;
1617,Little Rocket,Salesdock;
1618,Lions Clubs International,Uzin Utz Nederland bv;
1619,little rocket,Schmits Chemical Solutions;
1620,Little Rocket,Stichting ’n Boeskool is Lös;
1621,little rocket,DB Schenker;
1622,Little Rocket,Universiteit Utrecht;
1623,Little Rocket,Welzorg Nederland BV (onderdeel Louwman Group);
1624,Little Rocket | Data + digitale innovatie,KiECON;
1625,Saxion University of Applied Sciences,RCI | ASPIRE/U;
1626,Lions Clubs International,Hooijergroep;
1627,Saxion University of Applied Sciences,Avans Hogeschool;
1628,Little Rocket,Actief Techniek BV;
1629,Koninklijke Grolsch,Giftcompany;
1630,Little Rocket,Zilver Media BV;
1631,Little Rocket,Business Elements ;
1632,Saxion University of Applied Sciences,Capgemini Nederland;
1633,Little Rocket,Diakonessenhuis;
1634,Lions Clubs International,Innovadis B.V.;
1635,Lions Clubs International,Ter Steege Bouw Vastgoed Hardenberg B.V.;
1636,Saxion University of Applied Sciences,PGGM;
1637,Saxion University of Applied Sciences,Standaardisatie AdviesGroep Smart Cities;
1638,Koninklijke Grolsch,DEMCON;
1639,Little Rocket,Forque;
1640,Little Rocket,NOS;
1641,Koninklijke Grolsch,Tis voor Ontwikkeling;
1642,Lions Clubs International,Wolters Europe;
1643,Little Rocket | Data + digitale innovatie,Prinzen BV;
1644,Little Rocket,Coulisse;
1645,Koninklijke Grolsch,Wellnessboerderij 't Bellinckhofje;
1646,Koninklijke Grolsch,E.ON;
1647,Little Rocket I Data + digitale innovatie,Quantore B.V.;
1648,Little Rocket I Data + digitale innovatie,Pervorm Asia;
1649,Little Rocket,Giesbers Group;
1650,Saxion University of Applied Sciences,ZonEx Binnen- & Buitenleven;
1651,Saxion University of Applied Sciences,Vazquez BV;
1652,Little Rocket,Verint;
1653,little rocket,Sqills;
1654,Little Rocket I Data & Digital Innovation,Specialized Bicycle Components;
1655,Koninklijke Grolsch,RONAL GROUP;
1656,Saxion University of Applied Sciences,BlinkLane Consulting;
1657,Koninklijke Grolsch,Growth Tribe Academy;
1658,Little Rocket,NTT Ltd.;
1659,Little Rocket | Data + digitale innovatie,easyworx;
1660,Saxion University of Applied Sciences,Dami Marketing;
1661,Saxion University of Applied Sciences,VNG;
1662,Saxion University of Applied Sciences,UPC Polska;
1663,Little Rocket | Data + digitale innovatie,Team Rockstars IT;
1664,Little Rocket,Gemeente Zwolle;
1665,Saxion University of Applied Sciences,Gemeente Borger-Odoorn;
1666,Koninklijke Grolsch,Tibergi;
1667,Little Rocket,Amazon;
"1668,Koninklijke Grolsch,""New Relic, Inc.""";
1669,Little Rocket,Dura Vermeer Bouw Hengelo;
1670,Little Rocket,Pon;
1671,Lions Clubs International,Aluminium Gieterij Oldenzaal;
1672,Saxion University of Applied Sciences,Bleckmann;
1673,Little Rocket,House of Progress®;
1674,Koninklijke Grolsch,Six Stars Hospitality;
1675,Saxion University of Applied Sciences,DSM;
1676,Koninklijke Grolsch,Teavaro;
1677,Little Rocket,Fraunhofer Institute for Production Systems and Design Technology IPK;
1678,Little Rocket I Data & Digital Innovation,Switch IT Solutions;
1679,Little Rocket,Deterink Bank Verzekeringen Hypotheken;
1680,Saxion University of Applied Sciences,Dictabeat Events;
1681,Little Rocket,Supportflex;
1682,Little Rocket,a.s.r. verzekeringen;
1683,Little Rocket,DigiLive Events;
1684,Little Rocket,AdderaCare;
1685,Little Rocket,VMware;
1686,Koninklijke Grolsch,Ice and Equipment ;
1687,Little Rocket,SiteWork BV;
1688,Koninklijke Grolsch,Remoot Design;
1689,Little Rocket I Data & Digital Innovation,Mammoet uitzendbureau;
1690,Lions Clubs International,Folders.nl;
1691,Little Rocket I Data & Digital Innovation,Nedap healthcare;
1692,Little Rocket,NFK - Nederlandse Federatie van Kankerpatiëntenorganisaties;
1693,Little Rocket,Meditools;
1694,Koninklijke Grolsch,Speos;
1695,Little Rocket I Data & Digital Innovation,Wagenweg Verzuim en HR Consultancy;
1696,Koninklijke Grolsch,Canto;
1697,Saxion University of Applied Sciences,ABN AMRO Clearing Bank;
1698,Little Rocket,CCV Nederland;
1699,Saxion University of Applied Sciences,Pipple;
1700,Koninklijke Grolsch,PXL.Widgets;
1701,Little Rocket,Commvault;
1702,Little Rocket,BeSite B.V.;
1703,Little Rocket | Data + digitale innovatie,Bijlesnetwerk;
1704,Koninklijke Grolsch,Gosseling Groot Hendriks;
1705,Little Rocket,SEO For You;
1706,Little Rocket,KNVB;
1707,Little Rocket,Siers Groep Oldenzaal B.V.;
1708,Saxion University of Applied Sciences,Vrije Universiteit Amsterdam (VU Amsterdam);
1709,Little Rocket,POSIMISME experts in ondernemerszaken;
1710,Little Rocket I Data & Digital Innovation,Appic;
1711,Little Rocket,GLS Netherlands;
1712,Saxion University of Applied Sciences,Achmea;
1713,Lions Clubs International,Basisschool Bernardus ;
1714,Koninklijke Grolsch,bo.kè;
1715,Saxion University of Applied Sciences,Allez-Y Dienstverlening;
1716,Saxion University of Applied Sciences,GJN Vastgoed;
1717,Little Rocket | Data + digitale innovatie,Go Ahead Eagles;
1718,Lions Clubs International,BARTHOLOMEUS  |  Interim & Advies;
1719,Little Rocket,Zorgverzekeraars Nederland;
1720,Little Rocket I Data & Digital Innovation,Jonge Democraten Overijssel;
1721,Little Rocket,Chatbot Summit;
1722,Little Rocket | Data + digitale innovatie,Autosociaal;
1723,Saxion University of Applied Sciences,European Space Agency;
1724,Little Rocket,Argos;
1725,Koninklijke Grolsch,Bardot enschede;
1726,Little Rocket,Copernica;
1727,Koninklijke Grolsch,Op zoek naar sponsoren;
1728,Little Rocket | Data + digitale innovatie,Bakker Bart Borne ;
"1729,Saxion University of Applied Sciences,""Untappd, Inc""";
1730,Little Rocket,The Inside bv;
1731,Little Rocket | Data + digitale innovatie,Shop LnJ;
1732,Little Rocket,Nouryon;
1733,Little Rocket,CCV Group B.V.;
1734,Little Rocket,SKIKK;
1735,Little Rocket,Rijksmuseum Twenthe;
1736,Little Rocket,Ecare;
1737,Little Rocket,The Smart Engine;
1738,Saxion University of Applied Sciences,Perpetual Next;
1739,Little Rocket,Nederlands Interieur Instituut;
1740,Saxion University of Applied Sciences,ZIEN24;
1741,Little Rocket,Seiger Wonen;
1742,Little Rocket,PVH Corp.;
1743,Little Rocket I Data + digitale innovatie,Praktijk Forza;
1744,Lions Clubs International,DAYLEE - online personalisatie ;
1745,little rocket,Odin Groep;
1746,Little Rocket I Data & Digital Innovation,ZPV Piranha;
1747,Saxion University of Applied Sciences,InnoValor - ReadID;
1748,Koninklijke Grolsch,Exite ICT;
1749,Saxion University of Applied Sciences,WhereWeMeet;
1750,Little Rocket,ThoughtSpot;
1751,Koninklijke Grolsch,Top PsySo;
1752,Koninklijke Grolsch,Semji ;
1753,Saxion University of Applied Sciences,Hogeschool van Arnhem en Nijmegen (HAN);
1754,Saxion University of Applied Sciences,University of Bristol School of Management;
1755,Koninklijke Grolsch,Innovadis;
1756,Little Rocket | Data + digitale innovatie,ING;
1757,Saxion University of Applied Sciences,VanBredaVideoproducties;
1758,Little Rocket,Mediant Geestelijke Gezondheidszorg;
1759,Little Rocket,Licent Assuradeuren;
1760,Little Rocket I Data + digitale innovatie,Palmedic;
1761,Little Rocket,Mammoet;
1762,Koninklijke Grolsch,Veld Koeltechniek;
1763,Little Rocket,AlbertWieringa.nl;
1764,Little Rocket,De Dolle Deel;
1765,Saxion University of Applied Sciences,Foundation We Are;
1766,Little Rocket I Data & Digital Innovation,Sophie Bik Fotografie;
"1767,Little Rocket,""Inholland - Domein Communicatie, Media en Muziek""";
1768,Little Rocket,DirectLease;
1769,Little Rocket,Entrust Datacard;
1770,Saxion University of Applied Sciences,Say Yeah Motion Media;
1771,Little Rocket,Contentful;
1772,Koninklijke Grolsch,2.Orange;
1773,Little Rocket,Rabobank Enschede-Haaksbergen;
1774,Lions Clubs International,Artez conservatory;
1775,Little Rocket I Data + digitale innovatie,Impression Digital Limited;
1776,Saxion University of Applied Sciences,Takeaway.com;
1777,Koninklijke Grolsch,Salt Specialties Nouryon Hengelo;
1778,Little Rocket,Brouwerij doc;
1779,Lions Clubs International,Grand Café De Dominee;
1780,Saxion University of Applied Sciences,Drukwerkdeal.nl;
1781,Saxion University of Applied Sciences,Connec2;
1782,Koninklijke Grolsch,AKOR B.V.;
1783,Little Rocket,Remote-IT;
1784,Koninklijke Grolsch,UK Research and Innovation;
1785,Saxion University of Applied Sciences,StoreFrame | Magento 2 Framework as a Service |;
1786,Koninklijke Grolsch,De Krekerij;
1787,little rocket,Grand Café de Wal ;
1788,Saxion University of Applied Sciences,Datadone;
1789,Lions Clubs International,Fudura B.V.;
1790,Saxion University of Applied Sciences,RIVM National Institute for Public Health and the Environment;
1791,Koninklijke Grolsch,Primark;
1792,Koninklijke Grolsch,Medisch Spectrum Twente;
1793,Little Rocket,BrainsFirst;
1794,Saxion University of Applied Sciences,Vazquez;
1795,Little Rocket,Gartenträume- Der grüne Treffpunkt;
1796,Little Rocket,Vlotte Tantes;
1797,Little Rocket,Markebly;
1798,little rocket,PwC Nederland;
1799,Little Rocket,SGNM;
1800,Little Rocket,Unica Groep;
1801,Little Rocket I Data & Digital Innovation,Ultrasun International;
1802,Little Rocket,Zelfstandig ondernemer;
1803,Koninklijke Grolsch,dé VakantieDiscounter;
1804,Saxion University of Applied Sciences,Exxellence;
1805,Little Rocket,Subway;
1806,Little Rocket,Bakker Gijsbert;
1807,Little Rocket,QuTech;
1808,Koninklijke Grolsch,Sjo-Cal Speedtoys;
1809,Little Rocket,Google Cloud;
1810,Saxion University of Applied Sciences,Endezant Advies;
1811,Koninklijke Grolsch,EVVA Nederland BV;
1812,Lions Clubs International,MR.BRAND;
1813,Little Rocket,Stratech BV;
1814,little rocket,Aastad Adviesgroep;
1815,Koninklijke Grolsch,Aedes Real Estate;
1816,Little Rocket,Uselab B.V.;
1817,Little Rocket,Vengroot;
1818,Little Rocket,Roche;
"1819,Lions Clubs International,""Rotterdam School of Management, Erasmus University""";
1820,Little Rocket,Letink Design;
1821,Little Rocket,Hegeman Bouw & Infra B.V.;
1822,Little Rocket,Kommunikationsagentur husare ;
1823,Lions Clubs International,Oke Living BV;
1824,Little Rocket I Data & Digital Innovation,Shortsey;
1825,Little Rocket,Wilminktheater en Muziekcentrum Enschede;
1826,Little Rocket,REV4 Data Science RPO by A.I.;
1827,Little Rocket,Noah Creaties;
1828,Koninklijke Grolsch,Nestlé;
1829,Saxion University of Applied Sciences,CourtPerformance ;
1830,Little Rocket,Subvention BV;
1831,Saxion University of Applied Sciences,Xomnia;
1832,Saxion University of Applied Sciences,Antler Solutions;
1833,Little Rocket,Accenture;
1834,Saxion University of Applied Sciences,100%FAT;
1835,Koninklijke Grolsch,Ik wil rust in de tent;
1836,Koninklijke Grolsch,Vazquez BV;
1837,Little Rocket,Den Hollander Vastgoed Wonen;
1838,Little Rocket | Data + digitale innovatie,Horecaexploitatie DRU Cultuurfabriek B.V.;
1839,Little Rocket,Fluid;
1840,Little Rocket,OpenMind Coaching;
1841,Saxion University of Applied Sciences,Camp Bluff;
1842,Saxion University of Applied Sciences,Hofman Animal Care;
1843,little rocket,Pluryn;
1844,Koninklijke Grolsch,Bleckmann;
1845,Lions Clubs International,Documill;
1846,Little Rocket,IntoEvents;
1847,Koninklijke Grolsch,RWS Group;
1848,Koninklijke Grolsch,Boston Consulting Group (BCG);
1849,Little Rocket,Boer & Croon;
1850,Little Rocket I Data + digitale innovatie,Baseflow;
1851,Little Rocket,Webiteers;
1852,Saxion University of Applied Sciences,Schipper Technisch Handelsburo;
1853,Lions Clubs International,Faculty of Geo-Information Science and Earth Observation (ITC) of the University of Twente;
1854,Koninklijke Grolsch,Grolsche Bierbrouwerij;
1855,Little Rocket,VGS Media BV;
1856,Lions Clubs International,UMC Utrecht;
1857,Little Rocket,Attendiz;
1858,Saxion University of Applied Sciences,Trideo Media;
1859,Little Rocket,Schober Information Group;
1860,Little Rocket,Pentair Water Process Technology BV.;
1861,Little Rocket,HUISMERCK®;
1862,Little Rocket,Gezinnig;
1863,Saxion University of Applied Sciences,.;
1864,Little Rocket,Www.tweedehandsfiets.com;
1865,Little Rocket,Oldenzaal Promotie;
1866,Little Rocket,procestechniek.nl;
1867,Little Rocket I Data + digitale innovatie,DealDonkey;
1868,Saxion University of Applied Sciences,Blauwe Stokstaart;
1869,Little Rocket,Denda Games;
1870,Saxion University of Applied Sciences,Stichting Centre of Excellence - Sociale Technologische Innovatie;
1871,Little Rocket I Data & Digital Innovation,Justitiële Informatiedienst;
1872,Koninklijke Grolsch,Digital Chef;
1873,Little Rocket,Koninklijke Gazelle;
1874,Little Rocket,MTH performance consultancy;
1875,Saxion University of Applied Sciences,Accenture Interactive Amsterdam;
1876,Little Rocket,Politie Oost-Nederland ;
"1877,Lions Clubs International,""United Nations OCHA, Centre for Humanitarian Data""";
1878,Little Rocket,Wiljekoffie;
1879,little rocket,Rockstart;
1880,Little Rocket,Sabbatical Break;
1881,Saxion University of Applied Sciences,CleVR;
1882,Little Rocket I Data + digitale innovatie,Kinder-oefentherapiedeventer.nl;
1883,Little Rocket I Data & Digital Innovation,Rijksdienst voor Ondernemend Nederland (RVO.nl);
1884,Saxion University of Applied Sciences,Pan Oston BV;
1885,Lions Clubs International,EarlyGame;
1886,Lions Clubs International,VDM Motorcycletrading GmbH;
1887,Lions Clubs International,Batenborch International;
1888,Little Rocket I Data & Digital Innovation,Saxion University of Applied Sciences;
1889,Koninklijke Grolsch,De Vrienden Ommen;
1890,Saxion University of Applied Sciences,CreaUnit;
1891,Koninklijke Grolsch,bloomon;
1892,Little Rocket I Data + digitale innovatie,Hatless.;
1893,Little Rocket I Data + digitale innovatie,Podcrash LTD;
1894,Little Rocket,GFD Finanzkommunikation;
1895,Little Rocket I Data & Digital Innovation,Flexvak ICT Professionals;
"1896,Koninklijke Grolsch,""Untappd, Inc""";
1897,Saxion University of Applied Sciences,Studio 16;
1898,Little Rocket I Data + digitale innovatie,TCPM;
1899,Saxion University of Applied Sciences,FERM-Rotterdam;
1900,Koninklijke Grolsch,YANGA Sports Water;
1901,Little Rocket,Koninklijke Grolsch;
1902,Lions Clubs International,http://www.lightemupgo.com;
1903,Little Rocket I Data + digitale innovatie,Vangoud Advocaten B.V.;
1904,Little Rocket,Alliance Automotive Group Benelux;
1905,Little Rocket,Parantion;
1906,Koninklijke Grolsch,GROLSCHE BIERBROUWERIJ NEDERLAND;
1907,Little Rocket,AtmR Groep B.V.;
1908,Koninklijke Grolsch,Centracon AG;
1909,Little Rocket,Bastiaansen Modestad;
1910,Little Rocket,My Own Company Inc;
1911,Little Rocket | Data + digitale innovatie,University of Twente;
1912,Little Rocket | Data + digitale innovatie,Northwave. Intelligent Security Operations;
1913,Little Rocket I Data + digitale innovatie,YoungCapital;
1914,Little Rocket,GetFit4Life;
1915,Saxion University of Applied Sciences,Interprovinciaal Overleg;
1916,Little Rocket I Data + digitale innovatie,NetSuite;
1917,Little Rocket,Kartbaan oldenzaal;
1918,Lions Clubs International,Dept Agency;
1919,Little Rocket I Data + digitale innovatie,Independence organization;
1920,Saxion University of Applied Sciences,COST Association - European Cooperation in Science and Technology;
1921,Lions Clubs International,Datatrics;
1922,Saxion University of Applied Sciences,Nationaal Fonds Kinderhulp;
1923,Little Rocket | Data + digitale innovatie,De Waldhoorn;
1924,Lions Clubs International,TicketSwap;
1925,Little Rocket I Data & Digital Innovation,Rob Westerhof BouwInzicht;
1926,Little Rocket,Emirates;
1927,Saxion University of Applied Sciences,RIBW Groep Overijssel;
1928,Lions Clubs International,Entweder.vc;
1929,Little Rocket I Data & Digital Innovation,HST Groep;
1930,Lions Clubs International,De Twentse Zorgcentra;
1931,Little Rocket I Data & Digital Innovation,BTKzorg;
1932,Little Rocket,Fuego - orthomoleculair diëtist;
1933,Koninklijke Grolsch,Hilti Group;
1934,Saxion University of Applied Sciences,Kokoro Amsterdam;
1935,Little Rocket,ActionCOACH Nederland & Vlaanderen;
"1936,Lions Clubs International,""dietwee merk, ontwerp en communicatie""";
1937,Saxion University of Applied Sciences,Protestantse Kerk in Nederland;
1938,Lions Clubs International,Interring;
1939,Koninklijke Grolsch,VodafoneZiggo;
1940,Saxion University of Applied Sciences,Ministry of Economic Affairs and Climate policy (the Netherlands);
1941,Lions Clubs International,HOME makelaars;
1942,Koninklijke Grolsch,Drukwerkdeal.nl;
1943,Saxion University of Applied Sciences,StrollCast;
1944,Lions Clubs International,simon dam;
1945,Saxion University of Applied Sciences,Lidl Nederland;
1946,Saxion University of Applied Sciences,Spandex;
1947,Little Rocket,URENCO Nederland;
1948,Saxion University of Applied Sciences,Mobidot B.V.;
1949,Little Rocket | Data + digitale innovatie,Aurelius Enterprise - Digital Transformation Solutions;
1950,Little Rocket,Multimetaal;
1951,Lions Clubs International,Viking Group;
1952,Little Rocket I Data & Digital Innovation,Lacework;
1953,Lions Clubs International,MN;
1954,Saxion University of Applied Sciences,Robert Gordon University;
1955,Koninklijke Grolsch,SIRE® Life Sciences;
1956,Little Rocket | Data + digitale innovatie,Signify;
1957,Little Rocket,Ikbender;
1958,Little Rocket,BiOns;
1959,Lions Clubs International,SvPO;
1960,Little Rocket,Connected Circles;
1961,Lions Clubs International,PGVZ - Zorg en begeleiding zoals u het wenst;
1962,Koninklijke Grolsch,Vazquez;
1963,Saxion University of Applied Sciences,Royal HaskoningDHV Digita;
1964,Lions Clubs International,van Thiel & company;
1965,Koninklijke Grolsch,Weaver Canvas;
1966,Little Rocket | Data + digitale innovatie,Pelle's Eten&Drinken;
1967,Lions Clubs International,Modeca Europe B.V.;
1968,Saxion University of Applied Sciences,Burnett English Language Services;
1969,Little Rocket,Prodrive Technologies;
1970,Little Rocket I Data & Digital Innovation,Royal Schiphol Group;
1971,Little Rocket,Offerte.nl;
1972,Lions Clubs International,Huka B.V.;
1973,Little Rocket,Extendas BV;
1974,Little Rocket,Wabion;
1975,Little Rocket,The KPI Institute;
1976,Little Rocket,ten Hag | makelaars & financiële dienstverleners;
1977,Koninklijke Grolsch,Bright Kitchen;
1978,Little Rocket I Data & Digital Innovation,Green Orange digital marketing;
1979,Saxion University of Applied Sciences,Breda University of Applied Sciences;
1980,Lions Clubs International,Europastry Central Europe;
1981,Koninklijke Grolsch,Ardentia Marine;
1982,Little Rocket,AevesBenefit;
1983,Koninklijke Grolsch,Dupo Enschede B.V.;
"1984,Saxion University of Applied Sciences,""lecturing at the ERCC theological seminary fadan ayu, kaduna, Nigeria. Teaches Hebrew and Greek.""";
1985,Little Rocket I Data + digitale innovatie,Alarm Wesa;
1986,Saxion University of Applied Sciences,Finovion;
1987,Lions Clubs International,Havezathe het Everloo;
1988,Saxion University of Applied Sciences,InnoValor;
1989,Koninklijke Grolsch,Klik & Breng Enschede B.V.;
1990,Little Rocket,Actief Werkt!;
1991,Little Rocket I Data + digitale innovatie,B.C.S. S.r.l.s. ;
1992,Saxion University of Applied Sciences,Reutlingen University;
1993,Little Rocket | Data + digitale innovatie,Summercamp Heino;
1994,Little Rocket I Data & Digital Innovation,Meesterlijke Koffie & Thee;
1995,Saxion University of Applied Sciences,Fictoor Wagelaar crossmediale marketingcommunicatie;
1996,Koninklijke Grolsch,ERGO Group AG;
1997,Saxion University of Applied Sciences,Kubus Sports;
1998,Koninklijke Grolsch,Cater Concept BV;
1999,Lions Clubs International,BJJI BV / Jomo International Holding BV;
2000,Little Rocket,SubVice;
2001,Lions Clubs International,Pazzie business development;
2002,Lions Clubs International,Riwo Engineering B.V.;
2003,Little Rocket,Shop for Covers BV;
2004,Little Rocket,Trajectum LVB;
2005,Koninklijke Grolsch,Royal BAM Group nv;
2006,Lions Clubs International,Rederij Nassau;
2007,Koninklijke Grolsch,PS in foodservice;
2008,Little Rocket,Cunningham Lindsey;
2009,Little Rocket,Content Bridges;
2010,Little Rocket,Aforza;
2011,Little Rocket,Industrial Heritage Museum Buurtspoorweg;
2012,Saxion University of Applied Sciences,Centraal Register Kort beroepsonderwijs (CRKBO);
2013,Little Rocket,Kracht Werkt;
2014,Lions Clubs International,elk®;
2015,Saxion University of Applied Sciences,Nachtzon Media b.v.;
2016,Koninklijke Grolsch,Kadodesign BV;
2017,Little Rocket,Kuiphuis Kraanverhuur B.V.;
2018,Koninklijke Grolsch,HBLegal BV;
2019,Lions Clubs International,Lyconet;
2020,Little Rocket,27th Street;
"2021,little rocket,""Dusseldorp Infra, Sloop en Milieutechniek""";
2022,Little Rocket,TheRecruitBoosters.;
2023,Little Rocket,Waterschap Hollandse Delta;
2024,Lions Clubs International,SCS Logistics;
2025,Little Rocket,Print.com B.V.;
2026,Little Rocket,MediaMonks;
2027,Koninklijke Grolsch,NVisioN Media Interaction;
2028,Koninklijke Grolsch,WePayPeople BV;
2029,Lions Clubs International,Cube;
2030,Little Rocket,DRESSED by haer;
2031,Little Rocket I Data & Digital Innovation,FixjeiPhone;
2032,little rocket,Catch Legal;
2033,Little Rocket,VisionMakers Enschede;
2034,Saxion University of Applied Sciences,Swansea University;
2035,Koninklijke Grolsch,Hokra;
2036,Little Rocket,Talentgroep Twente BV;
2037,Little Rocket,The online company BV (Candid Group);
2038,Saxion University of Applied Sciences,UNLIKE;
2039,Little Rocket,du Gardijn Verzekeringen;
2040,Saxion University of Applied Sciences,Foque Film;
2041,Little Rocket I Data & Digital Innovation,Centric;
2042,Lions Clubs International,Mirzaee Company;
2043,Little Rocket,B+B Vakmedianet;
2044,Lions Clubs International,Heerze + Nieland;
2045,Koninklijke Grolsch,quantilope;
2046,Little Rocket I Data + digitale innovatie,Evolved;
2047,Lions Clubs International,RBTC Logistics;
2048,Little Rocket,Blush;
2049,Koninklijke Grolsch,Bain & Company;
2050,Little Rocket I Data & Digital Innovation,LinkedIn;
2051,Saxion University of Applied Sciences,de Kanttekening;
2052,Little Rocket,Mediatic Media BV;
2053,Little Rocket,Heutink ICT;
2054,Little Rocket I Data + digitale innovatie,Cherry;
2055,Little Rocket,Twente;
2056,Little Rocket,Kozijn Dienstverlening;
2057,Little Rocket,Emotion;
2058,Koninklijke Grolsch,Molino-studio;
2059,Saxion University of Applied Sciences,Taxi Almelo BV;
2060,Saxion University of Applied Sciences,Nedap Livestock Management;
2061,Lions Clubs International,HP;
2062,Little Rocket,du Gardijn HRM & Verzuim;
2063,Little Rocket,WHU – Otto Beisheim School of Management;
2064,Little Rocket,RTV Oost;
2065,Saxion University of Applied Sciences,CIVON Innovatiecentrum;
2066,Koninklijke Grolsch,Lucas Bols;
2067,Little Rocket,Contractbook;
2068,Lions Clubs International,Oxand Nederland;
